family,level,instance,algorithm,colors_used,execution_time,valid,error,num_vertices,num_edges,density,avg_degree,metadata
sudoku,expert,sudoku_expert_1,dsatur,10,0.0006603999936487526,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""expert"", ""given_cells"": 23}"
sudoku,expert,sudoku_expert_1,welsh_powell,14,0.00043220000225119293,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""expert"", ""given_cells"": 23}"
sudoku,expert,sudoku_expert_1,smallest_last,14,0.0015997000155039132,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""expert"", ""given_cells"": 23}"
sudoku,expert,sudoku_expert_1,largest_first,14,0.0001010000123642385,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""expert"", ""given_cells"": 23}"
sudoku,expert,sudoku_expert_1,iterated_greedy,10,0.0004758999857585877,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""expert"", ""given_cells"": 23}"
nqueens,small,nqueens_small_0,greedy,13,7.330000516958535e-05,True,,64,728,0.3611111111111111,22.75,"{""size"": 8}"
nqueens,small,nqueens_small_0,dsatur,12,0.0005554999806918204,True,,64,728,0.3611111111111111,22.75,"{""size"": 8}"
nqueens,small,nqueens_small_0,welsh_powell,13,0.0003409000055398792,True,,64,728,0.3611111111111111,22.75,"{""size"": 8}"
nqueens,small,nqueens_small_0,smallest_last,15,0.0011781000066548586,True,,64,728,0.3611111111111111,22.75,"{""size"": 8}"
nqueens,small,nqueens_small_0,largest_first,13,8.990001515485346e-05,True,,64,728,0.3611111111111111,22.75,"{""size"": 8}"
nqueens,small,nqueens_small_0,iterated_greedy,12,0.0004141000099480152,True,,64,728,0.3611111111111111,22.75,"{""size"": 8}"
nqueens,small,nqueens_small_1,greedy,13,7.339997682720423e-05,True,,64,728,0.3611111111111111,22.75,"{""size"": 8}"
nqueens,small,nqueens_small_1,dsatur,12,0.0005454000202007592,True,,64,728,0.3611111111111111,22.75,"{""size"": 8}"
nqueens,small,nqueens_small_1,welsh_powell,13,0.0003237000200897455,True,,64,728,0.3611111111111111,22.75,"{""size"": 8}"
nqueens,small,nqueens_small_1,smallest_last,15,0.0011531999916769564,True,,64,728,0.3611111111111111,22.75,"{""size"": 8}"
nqueens,small,nqueens_small_1,largest_first,13,8.830000297166407e-05,True,,64,728,0.3611111111111111,22.75,"{""size"": 8}"
nqueens,small,nqueens_small_1,iterated_greedy,12,0.0004330999800004065,True,,64,728,0.3611111111111111,22.75,"{""size"": 8}"
nqueens,medium,nqueens_medium_0,greedy,25,0.0006656999757979065,True,,256,6320,0.19362745098039216,49.375,"{""size"": 16}"
